No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
452	＋α	仲介手数料 無料にする方法	49	20	削除	Know（無料の不動産会社を探したい）	仲介手数料が無料の不動産会社の仕組みを知りたい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
453	＋α	仲介手数料 無料 不動産 賃貸	25	90	記事	Know（無料の不動産会社を探したい）	仲介手数料無料の不動産会社を探したい	値引き・節約	比較・解説	解説記事	無料の仕組み	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
454	＋α	仲介手数料 目安	41	40	削除	Know（仲介手数料の金額・相場を知りたい）	仲介手数料の目安金額を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	補足	解説記事
455	＋α	仲介手数料 免税業者	25	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の基本的な仕組みを理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
456	＋α	仲介手数料 名義変更	29	0	削除				解説		検索なし			対象外	不要	
457	＋α	仲介手数料 免除	45	0	削除				解説		検索なし			対象外	不要	
458	＋α	仲介手数料 メリット	30	10	削除	Know（仲介手数料のメリット・リスクを知りたい）	仲介手数料を払うメリット・払わない場合のリスクを知りたい	比較・検討	解説	解説記事	比較・検討	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
459	＋α	仲介手数料 名目	N/A	0	削除				解説		検索なし			対象外	不要	
460	＋α	仲介手数料 明細書	32	0	削除				解説		検索なし			対象外	不要	
461	＋α	仲介手数料 免許	N/A	0	削除				解説		検索なし			対象外	不要	
462	＋α	仲介手数料 免税	26	0	削除				解説		検索なし			対象外	不要	
463	＋α	仲介手数料 メリット デメリット	33	0	削除				解説		検索なし			対象外	不要	
464	＋α	仲介手数料 求め方	30	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の求め方・計算手順を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
465	＋α	仲介手数料 両手取り	40	10	削除	Know（仲介手数料の概要を知りたい）	両手取り（両手仲介）の仕組みと注意点を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
466	＋α	仲介手数料 元付 客付	41	0	削除				解説		検索なし			対象外	不要	
467	＋α	仲介手数料 申込金	24	0	削除				解説		検索なし			対象外	不要	
468	＋α	仲介手数料 申し込み後 交渉	48	10	削除	Do（手数料を値引き交渉したい）	仲介手数料の交渉方法・成功するコツを知りたい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
469	＋α	仲介手数料 戻ってくる	29	0	削除				解説		検索なし			対象外	不要	
470	＋α	仲介手数料 安い	40	260	記事	Buy（安い不動産会社を見つけたい）	安い不動産会社を見つけたい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
471	＋α	仲介手数料 安くする方法	37	140	記事	Do（仲介手数料の手続き・対策を知りたい）	仲介手数料を安くする具体的な方法を知りたい	手続き・対策	ハウツー	ハウツー記事	手続き・対策	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
472	＋α	仲介手数料 安くする	39	140	記事	Know（仲介手数料の金額を知りたい）	仲介手数料を安くする具体的な方法を知りたい	金額別	解説	ガイド記事	金額	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
473	＋α	仲介手数料 家賃	37	210	記事	Know（仲介手数料の概要を知りたい）	仲介手数料の概要を知りたい	賃貸	解説	解説記事	基礎解説	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
474	＋α	仲介手数料 安い 賃貸	25	210	記事	Know（賃貸の手数料ルールを知りたい）	賃貸物件の仲介手数料がいくらか知りたい	値引き・節約	解説	ガイド記事	賃貸特化	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
475	＋α	仲介手数料 家賃より高い	44	70	記事	Know（仲介手数料の金額を知りたい）	自分が払う仲介手数料が適正額か判断したい	賃貸	解説	ガイド記事	金額	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
476	＋α	仲介手数料 家賃の半分	45	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料0.55ヶ月分（半額）の根拠を知りたい	賃貸	解説	解説記事	基礎解説	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
477	＋α	仲介手数料 約定書	27	70	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の約定書の内容を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
478	＋α	仲介手数料 融資	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を融資に組み込めるか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
479	＋α	仲介手数料 輸出免税	27	0	削除				解説		検索なし			対象外	不要	
480	＋α	仲介手数料 輸入	17	0	削除				解説		検索なし			対象外	不要	
481	＋α	仲介手数料 友人	23	0	削除				解説		検索なし			対象外	不要	
482	＋α	仲介手数料 輸入申告	N/A	0	削除				解説		検索なし			対象外	不要	
483	＋α	ゆーみーらいふ 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
484	＋α	ユニライフ 仲介手数料	34	30	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
485	＋α	ユニライフ 仲介手数料 いくら	34	10	削除	Know（いくら払うのか相場を知りたい）	仲介手数料の相場金額を確認したい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
486	＋α	融資利用の特約による解除 仲介手数料	22	0	削除				解説		検索なし			対象外	不要	
487	＋α	ユウキホーム 仲介手数料	21	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
488	＋α	仲介手数料 読み方	24	90	削除				解説		翻訳KW			対象外	不要	
489	＋α	仲介手数料 ランキング	50	30	削除	Buy（安い不動産会社を見つけたい）	仲介手数料が安い不動産会社のランキングを見たい	値引き・節約	比較・解説	比較記事	安い不動産会社	仲介手数料値引き	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
490	＋α	仲介手数料 ランキング 不動産	N/A	0	削除				解説		検索なし			対象外	不要	
491	＋α	仲介手数料 ランキング 賃貸	51	0	削除				解説		検索なし			対象外	不要	
492	＋α	仲介手数料 無料 ライン	N/A	0	削除				解説		検索なし			対象外	不要	
493	＋α	ラキア不動産 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
494	＋α	ラテルーム 仲介手数料	34	50	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
495	＋α	ライフルホームズ 仲介手数料	38	0	削除			特定企業	解説		検索なし			対象外	不要	
496	＋α	ライフハウジング 仲介手数料	15	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
497	＋α	ライフクリエイト 仲介手数料	13	10	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
498	＋α	ラックハウジング 仲介手数料	17	20	削除	Know（仲介手数料の概要を知りたい）		基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	
