No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
558	＋α	不動産投資 連合隊	N/A	210	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
559	＋α	不動産投資 reit 比較	N/A	20	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
560	＋α	不動産投資 reit 違い	50	40	記事	Know（不動産投資のメリット・リスクを知りたい）	比較・検討	解説	解説記事	比較・検討	不動産投資_比較・検討		権威構築	補足
561	＋α	不動産投資 レバレッジ効果	24	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
562	＋α	不動産投資 連帯保証人	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
563	＋α	不動産投資 roi 目安	26	40	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
564	＋α	不動産投資 roi	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
565	＋α	不動産投資 ワンルーム やめとけ	38	260	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
566	＋α	不動産投資 ワンルーム	28	480	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
567	＋α	不動産投資 若いうち	31	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
568	＋α	不動産投資 割に合わない	26	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
569	＋α	不動産投資 割合	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
570	＋α	不動産投資 ワンルーム リスク	45	10	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
571	＋α	不動産投資 わかりやすく	N/A	20	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
572	＋α	不動産投資 別れる	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
573	＋α	不動産投資 若者	29	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
574	＋α	不動産投資 割引率 目安	N/A	0	削除			解説		検索なし			対象外	不要
575	＋α	不動産投資 nst	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
576	＋α	不動産投資 npv	23	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
577	＋α	不動産投資 npv 割引率	26	0	削除			解説		検索なし			対象外	不要
578	＋α	不動産投資 ncf	44	10	記事	Know（CFを知りたい）	その他	解説	解説記事	キャッシュフロー	不動産投資_キャッシュフロー		権威構築	補足
579	＋α	不動産投資 nhk	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
580	＋α	不動産投資 nft	26	0	削除			解説		検索なし			対象外	不要
581	＋α	nsd 不動産投資	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
582	＋α	nsp 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
583	＋α	ny 不動産投資	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
584	＋α	ntt 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
585	＋α	不動産投資 会社	32	1000	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
586	＋α	不動産投資 会社 ランキング	30	390	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
587	＋α	不動産投資 会社にばれる	N/A	10	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
588	＋α	不動産投資 外国人	N/A	50	記事	Know（海外の不動産投資を知りたい）	その他	解説	解説記事	海外	不動産投資_海外		権威構築	補足
589	＋α	不動産投資 元本	30	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
590	＋α	不動産投資 学校	18	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
591	＋α	不動産投資 ga	44	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
592	＋α	不動産投資 会社 一覧	33	260	記事	Buy（不動産投資会社を選びたい）	税金	比較・解説	比較記事	おすすめ比較	不動産投資税率		権威構築	補足
593	＋α	不動産投資 元本割れ	74	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
594	＋α	不動産投資 銀行	33	170	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
595	＋α	不動産投資 銀行融資	31	170	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
596	＋α	不動産投資 業界 今後	40	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
597	＋α	不動産投資 業者	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
598	＋α	不動産投資 銀行ローン	33	140	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
